id,funded_amount,loan_amount,activity,sector,use,partner_id,repayment_interval
965617,1200,1200,Cattle,Agriculture,to buy cows to fatten and breed for calves to sell,9,monthly
965620,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
965691,400,400,Higher education costs,Education,to pay for her daughter’s school fees to complete a bachelor's degree in Accounting.,204,monthly
965646,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
965612,175,175,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.	,311,monthly
965781,500,500,Cattle,Agriculture,to buy cows to breed for calves to sell,9,monthly
965613,175,175,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.	,311,monthly
965666,1600,1600,Farming,Agriculture,"to buy fertilizer, seeds and insecticides for farming in the dry season",9,monthly
965645,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
966254,1000,1000,Vehicle,Personal Use,To buy a motorcycle to drive her to work on time and reduce the cost of transportation.,204,monthly
966292,3100,3100,Higher education costs,Education,to cover his university fees from the second to fifth year for a BSc. in Civil Engineering. His father is a taxi driver and his mother a farmer.,9,monthly
966245,1000,1000,Farming,Agriculture,to buy fertilizer and pesticide to increase productivity of her crop yield ,204,monthly
966250,1000,1000,Farming,Agriculture,to purchase fertilizer and pesticide.,204,monthly
966758,275,275,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
966780,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
966759,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
967067,450,450,Higher education costs,Education,to pay her tuition fees for the fourth year,9,monthly
966786,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
967253,1850,1850,Farming,Agriculture,to buy fertilizer for rice farming,9,monthly
966733,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
966795,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for the family.,311,monthly
966824,325,325,Weaving,Arts,to buy silk and to pay for loom preparation related fees.,439,bullet
967120,1000,1000,Farming,Agriculture,to buy organic fertilizer to increase crop yields so as to improve living condition and keep her children in school. .,204,monthly
967166,400,400,Higher education costs,Education,to pay for his first-year tuition fee,9,monthly
966752,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
966883,200,200,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
966881,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
966736,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
966773,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family,311,monthly
966747,200,200,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
966743,200,200,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
967068,300,300,Farming,Agriculture,to buy organic fertilizer to increase crop productivity so that she can improve her lifestyle and send her children to school.,204,monthly
966942,750,750,General Store,Retail,to buy more grocery items to replenish the store so as to make a better living.,204,monthly
966879,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
966956,400,400,Higher education costs,Education,to pay his first-year university tuition fees in Banking and Finance,9,monthly
966787,500,500,Farming,Agriculture,"to buy fertilizer and rice seed to grow her crop, which is expected to produce good outputs so that she could earn more income to spend on her children's studies.",204,monthly
966767,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family,311,monthly
967072,900,900,Farming,Agriculture,to buy fertilizer and seeds to produce good yields so that she could earn more income to keep supporting her children's studying.,204,monthly
966770,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family,311,monthly
966762,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family,311,monthly
966745,200,200,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
966732,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
966781,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
966775,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family,311,monthly
967133,1100,1100,Vehicle,Personal Use,to buy a motorcycle to commute to work on time.,204,monthly
967246,2000,2000,Cattle,Agriculture,to buy wood to build a cow stable for her cows.,9,monthly
966744,200,200,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
966948,1350,1350,Weaving,Arts,"to buy needed weaving materials to make more cotton scarves, so that she can increase sales as well as her profits.",204,monthly
966766,275,275,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family,311,monthly
966887,200,200,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
967045,650,650,Farming,Agriculture,"to buy fertilizer and pesticide, to improve her crops and produce more returns to cover her future needs.",204,monthly
966777,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family,311,monthly
966761,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
966707,2125,2125,Farming,Agriculture,to buy fertilizer for rice farming,9,monthly
966819,525,525,Farming,Agriculture,to buy fertilizer and pesticide to increase the productivity of his crop yield and his income to save for future needs.,204,monthly
966940,500,500,Farming,Agriculture,"to buy pesticide and fertilizer to grow her rice, which are expected to produce good yields. .",204,monthly
967102,250,250,Farming,Agriculture,to pay for laborer fees and consequently buy an additional plot of farmland to grow cassava and send his son to school.,204,monthly
967163,1000,1000,Higher education costs,Education,to pay for his school fees and buy a computer.,61,monthly
967024,275,275,Farming,Agriculture,to buy pesticide to protect her crop from insects so as to get a good yield.,204,monthly
967144,600,600,Farming,Agriculture,"to buy organic fertilizer to increase crop productivity, so as to upgrade her standard of living and keep sending her children to school.",204,monthly
966788,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family,311,monthly
966931,500,500,Services,Services,to buy speakers to support her speaker rental business so that she can support her children’s education.,204,monthly
966740,200,200,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
966890,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
966954,500,500,Farming,Agriculture,"to buy fertilizer and pesticide to increase the productivity of crop, which enable her to earn more income to save for future need.",204,monthly
966892,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
966888,125,125,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
966738,175,175,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family,311,monthly
967108,500,500,Farming,Agriculture,to buy fertilizer to increase productivity of his crop yield so as to earn more income in order to keep supporting his children's studying.,204,monthly
966793,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for the family.,311,monthly
966755,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
967753,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
967736,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
967737,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
967746,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
967730,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
967745,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
967727,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
967723,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
967741,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
967751,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
967743,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
967725,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
967739,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
967726,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
967735,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
967748,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
967946,650,650,Home Energy,Personal Use,to pay for a solar home energy system.,407,monthly
969144,450,450,Home Energy,Personal Use,to pay for a solar home system.,407,monthly
969056,750,750,Agriculture,Agriculture,to buy a plot of farmland for growing rice.,106,monthly
968824,1000,1000,Personal Housing Expenses,Housing,to build a hygienic latrine,106,monthly
969062,700,700,Personal Housing Expenses,Housing,to build a hygienic latrine,106,monthly
968932,500,500,Higher education costs,Education,"to cover his university fees for the first year, for a BSc. in Information Technology",9,monthly
969153,650,650,Home Energy,Personal Use,to pay for a solar home system.,407,monthly
968830,1500,1500,Personal Housing Expenses,Housing,to build a hygienic latrine,106,monthly
969014,1500,1500,Food Production/Sales,Food,"to purchase a newer motorcycle with a trailer to transport soup, porridge and noodles to sell.",9,monthly
968782,1000,1000,Personal Housing Expenses,Housing,to build a hygienic latrine.,106,monthly
968837,750,750,Personal Housing Expenses,Housing,to build a hygienic latrine,106,monthly
968946,500,500,Higher education costs,Education,to pay his fourth-year tuition fees for a degree in Finance and Banking,9,monthly
968781,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
969140,650,650,Home Energy,Personal Use,to pay for a solar home system.,407,monthly
968828,1000,1000,Personal Housing Expenses,Housing,to build a hygienic latrine.,106,monthly
968827,500,500,Higher education costs,Education,to pay her tuition fees from the first year,9,monthly
968915,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
969155,650,650,Home Energy,Personal Use,to pay for a solar home system.,407,monthly
968780,375,375,Personal Housing Expenses,Housing,to build a hygienic latrine,106,monthly
968789,250,250,Personal Housing Expenses,Housing,to build a hygienic latrine,106,irregular
969033,1500,1500,Animal Sales,Agriculture,to buy cows to feed to resell,9,monthly
969381,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
969378,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
969484,500,500,Home Energy,Personal Use,to build a biogas digester,106,monthly
969396,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
969359,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
969363,1250,1250,Higher education costs,Education,to pay her tuition fees from first to fourth year. She taking a degree in Finance and Banking. Her father is a driver and her mother has a food stall.,9,monthly
969348,500,500,Farm Supplies,Agriculture,"to buy watermelon seeds, insecticides, and other related materials",106,monthly
969818,650,650,Home Energy,Personal Use,to pay for solar home systems.,407,monthly
969364,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
969367,1000,1000,Vehicle,Personal Use,to buy a new tractor,106,monthly
969372,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
969628,750,750,Fishing,Food,to buy some materials that are needed for fishing and farming.,106,monthly
969462,500,500,Pigs,Agriculture,to raise baby pigs and sell.,106,monthly
969357,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
969387,100,100,Home Appliances,Personal Use, To buy a water filter to provide safe drinking water for their family.	,311,monthly
969374,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
969393,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
969389,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
969400,1000,1000,Personal Housing Expenses,Housing,to build a hygienic latrine.,106,monthly
969395,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
969380,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
969394,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
969619,600,600,Vehicle,Personal Use,to buy a motorbike.,106,monthly
969375,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
969358,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
969480,500,500,Home Energy,Personal Use,to build a biogas digester.,106,monthly
969361,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
969382,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
969326,3000,3000,Higher education costs,Education,to pay his tuition fees from the first to the fourth year.,9,monthly
969362,225,225,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
969385,125,125,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.	,311,monthly
969336,2825,2825,Higher education costs,Education,to cover his university fees from the first to the fourth year.  He is studying law.  His parents are rice farmers.,9,monthly
969647,600,600,Farm Supplies,Agriculture,to purchase materials that related to making palm and farming.,106,monthly
969371,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
969377,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
970058,500,500,Higher education costs,Education,to pay her tuition fees for the third year of university.,9,monthly
970035,1000,1000,Cattle,Agriculture,to buy cows to fatten and breed for calves to sell.,9,monthly
970161,3125,3125,Higher education costs,Education,to cover her university fees from the first to the fourth year.  She will receive a BSc. in Banking and Finance. He parents are rice farmers.,9,monthly
970019,375,375,Farm Supplies,Agriculture,"to purchase farm supplies (e.g., fertilizers, seeds, and insecticides).",106,monthly
970263,1500,1500,Higher education costs,Education,to pay his tuition fee from the second to the fourth year,9,monthly
970020,1000,1000,Motorcycle Transport,Transportation,to purchase a motorcycle for her husband to run as a Tuk Tuk taxi service.,9,monthly
971291,650,650,Home Energy,Personal Use,to pay for a home solar-energy system.,407,monthly
971296,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
971293,650,650,Home Energy,Personal Use,to pay for a home solar-energy system.,407,monthly
971308,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
971409,1000,1000,Cattle,Agriculture,to get cows to help her plow her farmland.,106,monthly
971349,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
971268,3200,3200,Higher education costs,Education,to cover her university fees from the first to the fourth year,9,monthly
971438,1300,1300,Higher education costs,Education,to pay for school fees for his son so that he can study for a Bachelor's of English Literature.,204,monthly
971301,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for the family.	,311,monthly
971401,250,250,Farming,Agriculture,to buy farm supplies,106,monthly
971322,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
971299,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for the family.	,311,monthly
971305,225,225,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
971279,650,650,Home Energy,Personal Use,to pay for a home solar-energy system.,407,monthly
971297,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
971309,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
971310,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
971300,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for the family.	,311,monthly
971320,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
971298,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
971315,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
971450,1300,1300,Farming,Agriculture,to buy organic fertilizer to improve her farmland so as to get higher returns to keep sending her children to school.,204,monthly
971318,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
971292,650,650,Home Energy,Personal Use,to pay for a home solar-energy system.,407,monthly
971257,2700,2700,Higher education costs,Education,to cover her university fees from the first through fourth years.,9,monthly
971295,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
971306,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
971314,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
971402,700,700,Pigs,Agriculture,to buy piglets to fatten and sell.,9,monthly
971281,650,650,Home Energy,Personal Use,to pay for a home-based solar system.,407,monthly
971316,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
971324,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
971327,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
971418,250,250,Personal Housing Expenses,Housing,to build a new house to improve her housing.,106,monthly
971319,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
971312,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
971302,225,225,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for the family.	,311,monthly
971323,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
971891,700,700,Farming,Agriculture,to buy organic fertilizer to put on her farmland in order to grow her crops. ,204,monthly
971889,500,500,Farming,Agriculture,to buy organic fertilizer to increase productivity of her crop yields so as to gain more returns. .,204,monthly
971893,1050,1050,Farming,Agriculture,to buy subsidiary items such as fuel for a pumping machine and organic weed killer to produce abundant outputs.,204,monthly
971888,200,200,Farming,Agriculture,to buy organic fertilizer to input on her jicama farming to boost crop yields which enable her to earn more income. .,204,monthly
971895,500,500,Tailoring,Services,to buy cloth and some tailoring materials so as to have enough material to perform her business well.,204,monthly
971901,1000,1000,Farming,Agriculture,to purchase more fertilizer to increase her crop yields so as to earn more income.,204,monthly
971905,750,750,Farming,Agriculture,to buy fertilizer and purchase more organic pesticide to increase productivity of her crop yields.,204,monthly
971903,750,750,Farming,Agriculture,to have more plots of farmland to expand her farming area as well as increase her income.,204,monthly
971886,1200,1200,Higher education costs,Education,to pay for her university fees for a BSc. in Accounting.,204,monthly
972147,1725,1725,Higher education costs,Education,to pay her tuition fees from the first to fourth years,9,monthly
972148,2800,2800,Higher education costs,Education,to pay her tuition fees from the first to the fourth year of school.,9,monthly
972149,1000,1000,Animal Sales,Agriculture,to buy cows to fatten and breed.,9,monthly
972503,650,650,Home Energy,Personal Use,to pay for a home solar system.,407,monthly
972401,2200,2200,Higher education costs,Education,"to pay his university fees from the first to the fourth year, for a BA in Law. His parents are rice farmers.",9,monthly
972792,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
972725,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
972775,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
972715,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
972638,3200,3200,Higher education costs,Education,"to pay his tuition fee from the first to the fourth year, for a BA in International Relationships.",9,monthly
972557,2200,2200,Higher education costs,Education,to pay her university fees from her first to her fourth year.,9,monthly
972751,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
972700,1600,1600,Farming,Agriculture,to buy fertilizer for rice farming,9,monthly
972767,325,325,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
972764,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
972771,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
972894,1450,1450,Farming,Agriculture,to buy fertilizers and seeds for her farmland and to plow land.,204,monthly
972754,275,275,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
972910,450,450,Higher education costs,Education,to pay for her nephew’s university tuition fee to study Banking and Finance.,204,monthly
972765,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
972717,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family,311,monthly
972928,725,725,Farming,Agriculture,to buy fertilizers and seeds for her farmland,204,monthly
972589,1000,1000,Fish Selling,Food,to purchase more fish to sell.,9,monthly
972766,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
972729,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
972773,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
972772,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
972740,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
972791,125,125,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.	,311,monthly
972650,1850,1850,Farming,Agriculture,to buy fertilizer for her rice fields.,9,monthly
972732,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
972727,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
972888,2200,2200,Higher education costs,Education,to pay her university fees from the second to the third year,9,monthly
972724,175,175,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
972777,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
972774,250,250,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
972744,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
972733,250,250,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.	,311,monthly
972798,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
972916,1000,1000,Vehicle,Personal Use,To buy a proper motorbike which enable her to commute to work on time and reduce expenses on motor-taxi.,204,monthly
972750,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
972728,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
972890,500,500,Farming,Agriculture,to buy fertilizer for supporting her farmland.,204,monthly
972738,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
972768,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for the family.,311,monthly
972722,100,100,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
972896,500,500,Higher education costs,Education,to pay for her daughter’s tuition fee at university,204,monthly
972932,875,875,Farming,Agriculture,to buy fertilizers and pesticides for her farmland,204,monthly
972760,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
972746,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
972758,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
972564,2800,2800,Higher education costs,Education, to cover his university fees from the first to the fourth year,9,monthly
972884,500,500,Farming,Agriculture,to buy fertilizers and seeds for her farmland.,204,monthly
972797,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
972782,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
972779,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.	,311,monthly
972769,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
972781,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
972785,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
972879,775,775,Farming,Agriculture,to buy fertilizers and seeds for her rice farming,204,monthly
972736,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
972737,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
972787,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
972753,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
972784,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
972935,500,500,Higher education costs,Education,to pay for her fourth year tuition fees,9,monthly
972897,2600,2600,Higher education costs,Education,to cover her university fees from the first to the fourth year.,9,monthly
972786,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
972720,200,200,Home Appliances,Personal Use,To buy a water filter to provide safe drinking water for their family.,311,monthly
972905,1700,1700,Farming,Agriculture,to buy fertilizers and seeds for her vegetable growing in order to get a good result,204,monthly
972749,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
972783,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
973297,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for his family.,311,monthly
973310,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
973154,750,750,Farming,Agriculture,to buy organic fertilizer to boost crop yields to increase her income to save for future needs.,204,monthly
973314,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
973336,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
973166,1875,1875,Animal Sales,Agriculture,to buy piglets to fatten,9,monthly
973517,875,875,Farming,Agriculture,to buy organic fertilizer to improve her farmland so as to earn more income.,204,monthly
973330,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for the family.,311,irregular
973315,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
973352,125,125,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
973338,275,275,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
973152,1000,1000,Livestock,Agriculture,to purchase cows to raise.,204,monthly
973313,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
973353,675,675,Higher education costs,Education,to pay his college tuition fees in English Literature and Computer skills. His parents are farmers.,9,monthly
973341,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
973176,1125,1125,Farming,Agriculture,to buy rice seeds and organic fertilizer to increase productivity of her crop yield so that she can expand her business,204,monthly
973184,2600,2600,Higher education costs,Education,"pay her university fees from first to fourth year, for a BA in Khmer Literature. Her mother is a widow and has no funds.",9,monthly
973302,1100,1100,Higher education costs,Education,to cover his university fees from the fourth to his five year,9,monthly
973354,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.,311,monthly
973296,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for the family.,311,monthly
973298,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for the family.,311,monthly
973346,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
973303,100,100,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for their family.	.,311,monthly
973506,1000,1000,Farming,Agriculture,to buy organic fertilizer to improve crop yields to improve living conditions for her family.,204,monthly
973300,200,200,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
973305,175,175,Home Appliances,Personal Use,to buy a water filter to provide safe drinking water for her family.,311,monthly
